import time: self [us] | cumulative | imported package
import time:       145 |        145 | winreg
import time:       280 |        280 |   _io
import time:        37 |         37 |   marshal
import time:       170 |        170 |   nt
import time:       495 |        980 | _frozen_importlib_external
import time:       650 |        650 |   time
import time:       138 |        788 | zipimport
import time:        48 |         48 |     _codecs
import time:       316 |        363 |   codecs
import time:       977 |        977 |   encodings.aliases
import time:      1762 |       3100 | encodings
import time:       591 |        591 | encodings.utf_8
import time:       531 |        531 | encodings.cp1252
import time:        56 |         56 | _signal
import time:        33 |         33 |     _abc
import time:       122 |        155 |   abc
import time:       150 |        304 | io
import time:        49 |         49 |       _stat
import time:        68 |        116 |     stat
import time:       694 |        694 |     _collections_abc
import time:        40 |         40 |       genericpath
import time:        79 |         79 |       _winapi
import time:        88 |        206 |     ntpath
import time:       241 |       1256 |   os
import time:        65 |         65 |   _sitebuiltins
import time:       715 |        715 |   encodings.utf_8_sig
import time:      1409 |       1409 |   _distutils_hack
import time:       621 |        621 |     pywin32_system32
import time:       925 |       1545 |   pywin32_bootstrap
import time:       383 |        383 |   sitecustomize
import time:      2174 |       7545 | site
import time:       679 |        679 |   __future__
import time:       224 |        224 |       itertools
import time:       716 |        716 |       keyword
import time:        94 |         94 |         _operator
import time:       857 |        951 |       operator
import time:       746 |        746 |       reprlib
import time:        84 |         84 |       _collections
import time:      2060 |       4779 |     collections
import time:       728 |        728 |     collections.abc
import time:       601 |        601 |     copyreg
import time:       754 |        754 |         types
import time:        75 |         75 |         _functools
import time:      1052 |       1879 |       functools
import time:      1122 |       3001 |     contextlib
import time:      1839 |       1839 |       enum
import time:       119 |        119 |         _sre
import time:       727 |        727 |           re._constants
import time:       821 |       1547 |         re._parser
import time:       613 |        613 |         re._casefix
import time:       964 |       3242 |       re._compiler
import time:      1072 |       6152 |     re
import time:       786 |        786 |     warnings
import time:        50 |         50 |     _typing
import time:      3571 |      19664 |   typing
import time:       559 |        559 |     sqlalchemy.util.preloaded
import time:       647 |        647 |         _weakrefset
import time:      1128 |       1774 |       threading
import time:       825 |        825 |       weakref
import time:       336 |        336 |         sqlalchemy.cyextension
import time:        98 |         98 |           zlib
import time:      1605 |       1702 |         sqlalchemy.cyextension.collections
import time:       690 |        690 |         sqlalchemy.cyextension.immutabledict
import time:       123 |        123 |             _datetime
import time:       592 |        715 |           datetime
import time:       692 |       1407 |         sqlalchemy.cyextension.processors
import time:       594 |        594 |         sqlalchemy.cyextension.resultproxy
import time:        85 |         85 |                   _struct
import time:       605 |        690 |                 struct
import time:        66 |         66 |                 binascii
import time:       945 |       1700 |               base64
import time:       675 |        675 |                 copy
import time:       868 |        868 |                     _ast
import time:      1798 |       2666 |                   ast
import time:        51 |         51 |                       _opcode
import time:       807 |        858 |                     opcode
import time:      1316 |       2174 |                   dis
import time:       688 |        688 |                     importlib
import time:        70 |        757 |                   importlib.machinery
import time:       624 |        624 |                       token
import time:        55 |         55 |                       _tokenize
import time:      1317 |       1995 |                     tokenize
import time:       600 |       2594 |                   linecache
import time:      2563 |      10752 |                 inspect
import time:      1047 |      12473 |               dataclasses
import time:      2277 |       2277 |                 _hashlib
import time:        67 |         67 |                 _blake2
import time:       800 |       3142 |               hashlib
import time:      1092 |       1092 |                 _wmi
import time:      1181 |       2273 |               platform
import time:      1434 |       1434 |               sysconfig
import time:      2186 |       2186 |                 _socket
import time:        81 |         81 |                   math
import time:       792 |        792 |                   select
import time:      1166 |       2039 |                 selectors
import time:        88 |         88 |                 errno
import time:      1586 |       5897 |               socket
import time:       429 |        429 |                   _locale
import time:      5553 |       5982 |                 locale
import time:      2115 |       2115 |                 signal
import time:      1041 |       1041 |                 fcntl
import time:       131 |        131 |                 msvcrt
import time:      4762 |      14029 |               subprocess
import time:       373 |        373 |                   _csv
import time:      3327 |       3699 |                 csv
import time:      2741 |       2741 |                 email
import time:      1427 |       1427 |                       posix
import time:       326 |       1753 |                     posixpath
import time:      2107 |       3860 |                   fnmatch
import time:      2730 |       2730 |                     urllib
import time:      7200 |       7200 |                     ipaddress
import time:      4933 |      14863 |                   urllib.parse
import time:      4203 |      22924 |                 pathlib
import time:      2458 |       2458 |                     importlib._abc
import time:       606 |       3063 |                   importlib.util
import time:      1606 |       1606 |                       _compression
import time:      1632 |       1632 |                       _bz2
import time:      1893 |       5129 |                     bz2
import time:      1631 |       1631 |                       _lzma
import time:      1750 |       3381 |                     lzma
import time:      3119 |      11629 |                   shutil
